Year,Smoke_Estimate,Upper_bound,Lower_bound
2025,0.7869337334555488,1.4617380089252703,0.11212945798582741
2026,0.8010940474510453,1.4758983229207667,0.12628977198132385
2027,0.8152543614465417,1.4900586369162632,0.1404500859768203
2028,0.8294146754420381,1.5042189509117594,0.15461039997231663
2029,0.8435749894375345,1.518379264907256,0.16877071396781307
2030,0.857735303433031,1.5325395789027523,0.1829310279633095
2031,0.8718956174285274,1.546699892898249,0.19709134195880595
2032,0.8860559314240238,1.5608602068937452,0.2112516559543024
2033,0.9002162454195202,1.5750205208892416,0.22541196994979873
2034,0.9143765594150166,1.589180834884738,0.23957228394529517
2035,0.928536873410513,1.6033411488802345,0.2537325979407916
2036,0.9426971874060095,1.617501462875731,0.26789291193628806
2037,0.9568575014015059,1.6316617768712274,0.2820532259317845
2038,0.9710178153970024,1.6458220908667238,0.29621353992728094
2039,0.9851781293924988,1.6599824048622203,0.3103738539227774
2040,0.9993384433879952,1.6741427188577167,0.3245341679182737
2041,1.0134987573834917,1.6883030328532131,0.3386944819137703
2042,1.027659071378988,1.7024633468487094,0.3528547959092665
2043,1.0418193853744844,1.7166236608442058,0.36701510990476294
2044,1.0559796993699808,1.7307839748397023,0.3811754239002594
2045,1.0701400133654773,1.7449442888351987,0.3953357378957558
2046,1.0843003273609737,1.7591046028306951,0.40949605189125227
2047,1.0984606413564701,1.7732649168261916,0.4236563658867487
2048,1.1126209553519666,1.787425230821688,0.43781667988224515
2049,1.126781269347463,1.8015855448171845,0.4519769938777416
2050,1.1409415833429595,1.815745858812681,0.46613730787323804
